paper_id,claim_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_totals,table_1,Wave 3 / Did not respond / Totals,1120,1120,1,1120,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_control,table_5,Wave 1 / N / Control,448,448,1,448,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_amtrak,table_5,Wave 1 / N / Amtrak,407,407,1,407,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_flat_tax,table_5,Wave 1 / N / Flat Tax,463,463,1,463,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_veterans,table_5,Wave 1 / N / Veterans,438,438,1,438,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_wall_street,table_5,Wave 1 / N / Wall Street,425,425,1,425,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_totals,table_5,Wave 1 / N / Totals,2181,2181,1,2181,1,,
coppock_ekins_kirby_2018,t5_wave_2_distraction_control,table_5,Wave 2 / Distraction / Control,139,139,1,139,1,,
coppock_ekins_kirby_2018,t5_wave_2_distraction_amtrak,table_5,Wave 2 / Distraction / Amtrak,135,135,1,135,1,,
coppock_ekins_kirby_2018,t5_wave_2_distraction_flat_tax,table_5,Wave 2 / Distraction / Flat Tax,126,126,1,126,1,,
coppock_ekins_kirby_2018,t5_wave_2_distraction_veterans,table_5,Wave 2 / Distraction / Veterans,132,132,1,132,1,,
coppock_ekins_kirby_2018,t5_wave_2_distraction_wall_street,table_5,Wave 2 / Distraction / Wall Street,138,138,1,138,1,,
coppock_ekins_kirby_2018,t5_wave_2_distraction_totals,table_5,Wave 2 / Distraction / Totals,670,670,1,670,1,,
coppock_ekins_kirby_2018,t5_wave_2_no_distraction_control,table_5,Wave 2 / No distraction / Control,141,141,1,141,1,,
coppock_ekins_kirby_2018,t5_wave_2_no_distraction_amtrak,table_5,Wave 2 / No distraction / Amtrak,126,126,1,126,1,,
coppock_ekins_kirby_2018,t5_wave_2_no_distraction_flat_tax,table_5,Wave 2 / No distraction / Flat Tax,141,141,1,141,1,,
coppock_ekins_kirby_2018,t5_wave_2_no_distraction_veterans,table_5,Wave 2 / No distraction / Veterans,148,148,1,148,1,,
coppock_ekins_kirby_2018,t5_wave_2_no_distraction_wall_street,table_5,Wave 2 / No distraction / Wall Street,132,132,1,132,1,,
coppock_ekins_kirby_2018,t5_wave_2_no_distraction_totals,table_5,Wave 2 / No distraction / Totals,688,688,1,688,1,,
coppock_ekins_kirby_2018,t5_wave_2_responded_control,table_5,Wave 2 / Responded / Control,280,280,1,280,1,,
coppock_ekins_kirby_2018,t5_wave_2_responded_amtrak,table_5,Wave 2 / Responded / Amtrak,261,261,1,261,1,,
coppock_ekins_kirby_2018,t5_wave_2_responded_flat_tax,table_5,Wave 2 / Responded / Flat Tax,267,267,1,267,1,,
coppock_ekins_kirby_2018,t5_wave_2_responded_veterans,table_5,Wave 2 / Responded / Veterans,280,280,1,280,1,,
coppock_ekins_kirby_2018,t5_wave_2_responded_wall_street,table_5,Wave 2 / Responded / Wall Street,270,270,1,270,1,,
coppock_ekins_kirby_2018,t5_wave_2_responded_totals,table_5,Wave 2 / Responded / Totals,1358,1358,1,1358,1,,
coppock_ekins_kirby_2018,t5_wave_2_did_not_respond_control,table_5,Wave 2 / Did not respond / Control,168,168,1,168,1,,
coppock_ekins_kirby_2018,t5_wave_2_did_not_respond_amtrak,table_5,Wave 2 / Did not respond / Amtrak,146,146,1,146,1,,
coppock_ekins_kirby_2018,t5_wave_2_did_not_respond_flat_tax,table_5,Wave 2 / Did not respond / Flat Tax,196,196,1,196,1,,
coppock_ekins_kirby_2018,t5_wave_2_did_not_respond_veterans,table_5,Wave 2 / Did not respond / Veterans,158,158,1,158,1,,
coppock_ekins_kirby_2018,t5_wave_2_did_not_respond_wall_street,table_5,Wave 2 / Did not respond / Wall Street,155,155,1,155,1,,
coppock_ekins_kirby_2018,t5_wave_2_did_not_respond_totals,table_5,Wave 2 / Did not respond / Totals,823,823,1,823,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_amtrak_estimate,table_3,Amtrak / Op-ed: Amtrak / estimate,0.43978,0.440,1,0.439779282263412,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_amtrak_std_error,table_3,Amtrak / Op-ed: Amtrak / std.error,0.08503,0.085,1,0.0850258549473691,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_climate_estimate,table_3,Amtrak / Op-ed: Climate / estimate,0.05421,0.054,1,0.054211090427033,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_climate_std_error,table_3,Amtrak / Op-ed: Climate / std.error,0.07876,0.079,1,0.078760675907702,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_flat_tax_estimate,table_3,Amtrak / Op-ed: Flat Tax / estimate,0.19517,0.195,1,0.195174657778119,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_flat_tax_std_error,table_3,Amtrak / Op-ed: Flat Tax / std.error,0.078,0.078,1,0.0780021373615233,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_veterans_estimate,table_3,Amtrak / Op-ed: Veterans / estimate,0.0474,0.047,1,0.0473950638741633,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_veterans_std_error,table_3,Amtrak / Op-ed: Veterans / std.error,0.07914,0.079,1,0.0791370155181792,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_wall_street_estimate,table_3,Amtrak / Op-ed: Wall Street / estimate,0.03837,0.038,1,0.0383692470125279,1,,
coppock_ekins_kirby_2018,t3_amtrak_op_ed_wall_street_std_error,table_3,Amtrak / Op-ed: Wall Street / std.error,0.07758,0.078,1,0.0775814972496159,1,,
coppock_ekins_kirby_2018,t3_amtrak_constant_estimate,table_3,Amtrak / Constant / estimate,2.90193,2.902,1,2.90192926045016,1,,
coppock_ekins_kirby_2018,t3_amtrak_constant_std_error,table_3,Amtrak / Constant / std.error,0.05406,0.054,1,0.0540641500705116,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_amtrak_estimate,table_3,Climate / Op-ed: Amtrak / estimate,-0.01954,-0.020,1,-0.0195430528850015,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_amtrak_std_error,table_3,Climate / Op-ed: Amtrak / std.error,0.09495,0.095,1,0.094950285793976,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_climate_estimate,table_3,Climate / Op-ed: Climate / estimate,0.42669,0.427,1,0.426688102893894,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_climate_std_error,table_3,Climate / Op-ed: Climate / std.error,0.09786,0.098,1,0.0978578521325194,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_flat_tax_estimate,table_3,Climate / Op-ed: Flat Tax / estimate,0.12958,0.130,1,0.129584184665614,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_flat_tax_std_error,table_3,Climate / Op-ed: Flat Tax / std.error,0.0969,0.097,1,0.096902139939288,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_veterans_estimate,table_3,Climate / Op-ed: Veterans / estimate,0.03243,0.032,1,0.0324313461371368,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_veterans_std_error,table_3,Climate / Op-ed: Veterans / std.error,0.09549,0.095,1,0.0954913273502922,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_wall_street_estimate,table_3,Climate / Op-ed: Wall Street / estimate,0.07909,0.079,1,0.0790927463433109,1,,
coppock_ekins_kirby_2018,t3_climate_op_ed_wall_street_std_error,table_3,Climate / Op-ed: Wall Street / std.error,0.0952,0.095,1,0.095195343114609,1,,
coppock_ekins_kirby_2018,t3_climate_constant_estimate,table_3,Climate / Constant / estimate,2.77331,2.773,1,2.7733118971061,1,,
coppock_ekins_kirby_2018,t3_climate_constant_std_error,table_3,Climate / Constant / std.error,0.06534,0.065,1,0.0653392589651483,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_amtrak_estimate,table_3,Flat Tax / Op-ed: Amtrak / estimate,0.05603,0.056,1,0.0560277270597402,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_amtrak_std_error,table_3,Flat Tax / Op-ed: Amtrak / std.error,0.10776,0.108,1,0.107760550898245,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_climate_estimate,table_3,Flat Tax / Op-ed: Climate / estimate,0.13223,0.132,1,0.132233316409998,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_climate_std_error,table_3,Flat Tax / Op-ed: Climate / std.error,0.10992,0.110,1,0.109916531796089,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_flat_tax_estimate,table_3,Flat Tax / Op-ed: Flat Tax / estimate,0.84979,0.850,1,0.849792119721513,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_flat_tax_std_error,table_3,Flat Tax / Op-ed: Flat Tax / std.error,0.10872,0.109,1,0.108720967897579,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_veterans_estimate,table_3,Flat Tax / Op-ed: Veterans / estimate,-0.10619,-0.106,1,-0.106185365429732,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_veterans_std_error,table_3,Flat Tax / Op-ed: Veterans / std.error,0.10971,0.110,1,0.109714628244899,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_wall_street_estimate,table_3,Flat Tax / Op-ed: Wall Street / estimate,0.15095,0.151,1,0.150946766702392,1,,
coppock_ekins_kirby_2018,t3_flat_tax_op_ed_wall_street_std_error,table_3,Flat Tax / Op-ed: Wall Street / std.error,0.10681,0.107,1,0.106810125130214,1,,
coppock_ekins_kirby_2018,t3_flat_tax_constant_estimate,table_3,Flat Tax / Constant / estimate,3.73794,3.738,1,3.73794212218651,1,,
coppock_ekins_kirby_2018,t3_flat_tax_constant_std_error,table_3,Flat Tax / Constant / std.error,0.07606,0.076,1,0.0760550839964058,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_amtrak_estimate,table_3,Veterans / Op-ed: Amtrak / estimate,-0.05605,-0.056,1,-0.0560465780133211,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_amtrak_std_error,table_3,Veterans / Op-ed: Amtrak / std.error,0.08229,0.082,1,0.0822908568812583,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_climate_estimate,table_3,Veterans / Op-ed: Climate / estimate,-0.00863,-0.009,1,-0.00862526090145008,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_climate_std_error,table_3,Veterans / Op-ed: Climate / std.error,0.08216,0.082,1,0.0821641908283432,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_flat_tax_estimate,table_3,Veterans / Op-ed: Flat Tax / estimate,-0.03312,-0.033,1,-0.0331239010281726,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_flat_tax_std_error,table_3,Veterans / Op-ed: Flat Tax / std.error,0.08235,0.082,1,0.0823502628468492,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_veterans_estimate,table_3,Veterans / Op-ed: Veterans / estimate,0.77035,0.770,1,0.770351742417651,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_veterans_std_error,table_3,Veterans / Op-ed: Veterans / std.error,0.07845,0.078,1,0.0784529825094557,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_wall_street_estimate,table_3,Veterans / Op-ed: Wall Street / estimate,-0.20973,-0.210,1,-0.209733753526042,1,,
coppock_ekins_kirby_2018,t3_veterans_op_ed_wall_street_std_error,table_3,Veterans / Op-ed: Wall Street / std.error,0.08395,0.084,1,0.0839547429805492,1,,
coppock_ekins_kirby_2018,t3_veterans_constant_estimate,table_3,Veterans / Constant / estimate,4.50161,4.502,1,4.50160771704183,1,,
coppock_ekins_kirby_2018,t3_veterans_constant_std_error,table_3,Veterans / Constant / std.error,0.05773,0.058,1,0.0577340940384029,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_amtrak_estimate,table_3,Wall Street / Op-ed: Amtrak / estimate,-0.03452,-0.035,1,-0.034516096021371,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_amtrak_std_error,table_3,Wall Street / Op-ed: Amtrak / std.error,0.07861,0.079,1,0.0786113977639288,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_climate_estimate,table_3,Wall Street / Op-ed: Climate / estimate,0.02635,0.026,1,0.0263496361482494,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_climate_std_error,table_3,Wall Street / Op-ed: Climate / std.error,0.08008,0.080,1,0.0800792321541254,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_flat_tax_estimate,table_3,Wall Street / Op-ed: Flat Tax / estimate,-0.0178,-0.018,1,-0.0177999200249771,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_flat_tax_std_error,table_3,Wall Street / Op-ed: Flat Tax / std.error,0.07928,0.079,1,0.0792758435187321,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_veterans_estimate,table_3,Wall Street / Op-ed: Veterans / estimate,-0.1242,-0.124,1,-0.12420157295559,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_veterans_std_error,table_3,Wall Street / Op-ed: Veterans / std.error,0.07803,0.078,1,0.0780250782161114,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_wall_street_estimate,table_3,Wall Street / Op-ed: Wall Street / estimate,0.91492,0.915,1,0.914924306655364,1,,
coppock_ekins_kirby_2018,t3_wall_street_op_ed_wall_street_std_error,table_3,Wall Street / Op-ed: Wall Street / std.error,0.0823,0.082,1,0.0823022898826835,1,,
coppock_ekins_kirby_2018,t3_wall_street_constant_estimate,table_3,Wall Street / Constant / estimate,2.61576,2.616,1,2.61575562700964,1,,
coppock_ekins_kirby_2018,t3_wall_street_constant_std_error,table_3,Wall Street / Constant / std.error,0.05426,0.054,1,0.0542588848026695,1,,
coppock_ekins_kirby_2018,t3_amtrak_r2,table_3,Amtrak / R2,0.0115,0.012,1,0.0115009013427352,1,,
coppock_ekins_kirby_2018,t3_climate_r2,table_3,Climate / R2,0.00764,0.008,1,0.00764125381877633,1,,
coppock_ekins_kirby_2018,t3_flat_tax_r2,table_3,Flat Tax / R2,0.02638,0.026,1,0.0263832815744185,1,,
coppock_ekins_kirby_2018,t3_veterans_r2,table_3,Veterans / R2,0.04796,0.048,1,0.0479554778810424,1,,
coppock_ekins_kirby_2018,t3_wall_street_r2,table_3,Wall Street / R2,0.06065,0.061,1,0.0606519931537687,1,,
coppock_ekins_kirby_2018,t3_amtrak_n,table_3,Amtrak / N,3571,3571,1,3571,1,,
coppock_ekins_kirby_2018,t3_climate_n,table_3,Climate / N,3571,3571,1,3571,1,,
coppock_ekins_kirby_2018,t3_flat_tax_n,table_3,Flat Tax / N,3571,3571,1,3571,1,,
coppock_ekins_kirby_2018,t3_veterans_n,table_3,Veterans / N,3571,3571,1,3571,1,,
coppock_ekins_kirby_2018,t3_wall_street_n,table_3,Wall Street / N,3571,3571,1,3571,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_amtrak_estimate,table_4,Amtrak / Op-ed: Amtrak / estimate,0.50096,0.501,1,0.500964436639707,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_amtrak_std_error,table_4,Amtrak / Op-ed: Amtrak / std.error,0.05896,0.059,1,0.0589588049596883,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_climate_estimate,table_4,Amtrak / Op-ed: Climate / estimate,0.07776,0.078,1,0.0777567196604696,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_climate_std_error,table_4,Amtrak / Op-ed: Climate / std.error,0.05634,0.056,1,0.0563426948072874,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_flat_tax_estimate,table_4,Amtrak / Op-ed: Flat Tax / estimate,0.08014,0.080,1,0.0801371924894922,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_flat_tax_std_error,table_4,Amtrak / Op-ed: Flat Tax / std.error,0.05506,0.055,1,0.0550559597111213,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_veterans_estimate,table_4,Amtrak / Op-ed: Veterans / estimate,0.04407,0.044,1,0.0440654548829596,1,,
