sample,issue,dv_type,party,dv,estimate,std.error,p.value,conf.low,conf.high
Elites,Amtrak,Main DV,Democrat,dv_amtrak_main_w1,0.3364400305576768,0.0893648284132844,1.8716895486094675e-4,0.16084909503505007,0.5120309660803035
Elites,Amtrak,Main DV,Independent,dv_amtrak_main_w1,0.56,0.3703280399090207,0.13370805059501456,-0.17490394269136966,1.2949039426913698
Elites,Amtrak,Main DV,Republican,dv_amtrak_main_w1,0.5881895881895886,0.2114231139010212,0.005786869182713265,0.17192102470706688,1.0044581516721103
Elites,Amtrak,Scale DV,Democrat,dv_amtrak_scale_w1,0.22571183385035565,0.06674926123575746,7.793253276783865e-4,0.09455771612937819,0.3568659515713331
Elites,Amtrak,Scale DV,Independent,dv_amtrak_scale_w1,0.41037679423955986,0.2342816640160525,0.08296439733257083,-0.05454754318838717,0.8753011316675069
Elites,Amtrak,Scale DV,Republican,dv_amtrak_scale_w1,0.41042228983666446,0.13253871940860543,0.002165933158620217,0.1494683131590619,0.6713762665142671
Elites,Flat Tax,Main DV,Democrat,dv_flat_main_w1,0.4285245657198251,0.16126643484281603,0.008122355126760466,0.11170503865535636,0.7453440927842938
Elites,Flat Tax,Main DV,Independent,dv_flat_main_w1,-0.15999999999999998,0.3992999439882464,0.6894620603147945,-0.9518267732515424,0.6318267732515426
Elites,Flat Tax,Main DV,Republican,dv_flat_main_w1,0.6412390426474933,0.18954016165782966,8.177812672561292e-4,0.2681516146757866,1.0143264706192001
Elites,Flat Tax,Scale DV,Democrat,dv_flat_scale_w1,0.08038442032226796,0.07488281736388394,0.2835622634254783,-0.06672826810297351,0.22749710874750945
Elites,Flat Tax,Scale DV,Independent,dv_flat_scale_w1,-0.0439225820117998,0.18832438825214332,0.8160425374236997,-0.4173769110678909,0.32953174704429133
Elites,Flat Tax,Scale DV,Republican,dv_flat_scale_w1,0.2262752625353787,0.08673304289754762,0.009566967312869424,0.05555150873156825,0.3969990163391891
Elites,Veterans,Main DV,Democrat,dv_vets_main_w1,-0.022386907518913503,0.1139372595952297,0.8443096826133636,-0.24623420267019158,0.20146038763236457
Elites,Veterans,Main DV,Independent,dv_vets_main_w1,0.00905660377358541,0.27757370077242394,0.9740358367237503,-0.5415749520537942,0.5596881596009651
Elites,Veterans,Main DV,Republican,dv_vets_main_w1,0.22867132867132905,0.15884750944360246,0.1511445835303554,-0.08406070848086084,0.5414033658235189
Elites,Veterans,Scale DV,Democrat,dv_vets_scale_w1,0.10868777478787386,0.07739846556927303,0.16085293439039888,-0.04337343177520264,0.26074898135095037
Elites,Veterans,Scale DV,Independent,dv_vets_scale_w1,0.04515988343054614,0.1805633913258873,0.8030138403294759,-0.31302931394142175,0.4033490808025141
Elites,Veterans,Scale DV,Republican,dv_vets_scale_w1,0.30195191656813924,0.1177652717842027,0.01088651691506248,0.07010079419387974,0.5338030389423988
Elites,Wall Street,Main DV,Democrat,dv_wall_main_w1,0.6315713382127046,0.12346027150913633,4.5643684845883624e-7,0.3889689204087867,0.8741737560166225
Elites,Wall Street,Main DV,Independent,dv_wall_main_w1,1.097254901960784,0.30707075655104493,5.465474923464179e-4,0.48795990147573476,1.7065499024458333
Elites,Wall Street,Main DV,Republican,dv_wall_main_w1,0.7028640149659263,0.17010589875363186,4.6790170946882834e-5,0.3681030047202274,1.0376250252116253
Elites,Wall Street,Scale DV,Democrat,dv_wall_scale_w1,0.5108003177680536,0.07553775282020721,4.0465695888899485e-11,0.3623668075736357,0.6592338279624714
Elites,Wall Street,Scale DV,Independent,dv_wall_scale_w1,0.8001859047353067,0.17464351728166236,1.3455812653902915e-5,0.4536552772603568,1.1467165322102566
Elites,Wall Street,Scale DV,Republican,dv_wall_scale_w1,0.4981706336181369,0.10359603612005874,2.413702597736829e-6,0.29429814028838786,0.702043126947886
Mechanical Turk,Amtrak,Main DV,Democrat,dv_amtrak_main_w1,0.3122459349593494,0.09593938435862724,0.0011863187816504744,0.1239046613017365,0.5005872086169623
Mechanical Turk,Amtrak,Main DV,Independent,dv_amtrak_main_w1,0.4547650417215635,0.2522739145318252,0.07303416287838649,-0.042869240669124564,0.9523993241122516
Mechanical Turk,Amtrak,Main DV,Republican,dv_amtrak_main_w1,0.806997982372305,0.1710757096559179,3.8209181912357925e-6,0.47020266642216657,1.1437932983224435
Mechanical Turk,Amtrak,Scale DV,Democrat,dv_amtrak_scale_w1,0.4056313952903787,0.06843252775086575,4.68763846276065e-9,0.2712895968478396,0.5399731937329179
Mechanical Turk,Amtrak,Scale DV,Independent,dv_amtrak_scale_w1,0.5331610472796535,0.1734970255611309,0.00243221478375679,0.19092166841933778,0.8754004261399693
Mechanical Turk,Amtrak,Scale DV,Republican,dv_amtrak_scale_w1,0.7714685073156348,0.11103597690850958,2.7183246952771713e-11,0.5528729100800682,0.9900641045512013
Mechanical Turk,Climate,Main DV,Democrat,dv_climate_main_w1,0.39974710982658923,0.09743997755255931,4.5487458596723794e-5,0.20845022428699472,0.5910439953661837
Mechanical Turk,Climate,Main DV,Independent,dv_climate_main_w1,0.33433283358320837,0.27721444975291254,0.22941015490252215,-0.21273801866753966,0.8814036858339565
Mechanical Turk,Climate,Main DV,Republican,dv_climate_main_w1,0.49320067993200617,0.20619349315696855,0.017417418230572294,0.08732072893952642,0.8990806309244859
Mechanical Turk,Climate,Scale DV,Democrat,dv_climate_scale_w1,0.27474600868580634,0.05723824672961057,1.9256938205147615e-6,0.16237428397748319,0.38711773339412947
Mechanical Turk,Climate,Scale DV,Independent,dv_climate_scale_w1,0.08403337632481123,0.15597690363915945,0.590732683117875,-0.22378036744419028,0.39184712009381273
Mechanical Turk,Climate,Scale DV,Republican,dv_climate_scale_w1,0.3620424428162848,0.11839049124684325,0.0024426835539983183,0.12899761657308403,0.5950872690594855
Mechanical Turk,Flat Tax,Main DV,Democrat,dv_flat_main_w1,0.5180884009008999,0.13636639550535803,1.5749033256074846e-4,0.25036197830616386,0.7858148234956359
Mechanical Turk,Flat Tax,Main DV,Independent,dv_flat_main_w1,1.2420948616600795,0.27372443473035307,1.0432071922605092e-5,0.7019322934343715,1.7822574298857876
Mechanical Turk,Flat Tax,Main DV,Republican,dv_flat_main_w1,1.094405017329592,0.18593038109416,1.0262881398682962e-8,0.7285598599335589,1.4602501747256253
Mechanical Turk,Flat Tax,Scale DV,Democrat,dv_flat_scale_w1,0.2690245415702431,0.07314278455484534,2.5263489085862787e-4,0.12542423612169992,0.4126248470187862
Mechanical Turk,Flat Tax,Scale DV,Independent,dv_flat_scale_w1,0.6077359566218765,0.15210132451860262,9.435568984836727e-5,0.3075821096939038,0.9078898035498493
Mechanical Turk,Flat Tax,Scale DV,Republican,dv_flat_scale_w1,0.7414549509877048,0.09860520584985262,5.975509144888626e-13,0.547434819140943,0.9354750828344665
Mechanical Turk,Veterans,Main DV,Democrat,dv_vets_main_w1,0.7896857193732189,0.0982506689441659,3.670724117640285e-15,0.596799452886272,0.9825719858601657
Mechanical Turk,Veterans,Main DV,Independent,dv_vets_main_w1,0.6753006475485669,0.19930620449501274,8.603464672491249e-4,0.2820813563506122,1.0685199387465216
Mechanical Turk,Veterans,Main DV,Republican,dv_vets_main_w1,0.765119746528748,0.17132370666428257,1.1420109949536782e-5,0.4279290696253591,1.102310423432137
Mechanical Turk,Veterans,Scale DV,Democrat,dv_vets_scale_w1,0.661037369300987,0.06628568672555983,4.735503571724246e-22,0.5309049358894401,0.7911698027125339
Mechanical Turk,Veterans,Scale DV,Independent,dv_vets_scale_w1,0.5074703581351669,0.15180053770796845,0.0010040100893140926,0.2079769229346115,0.8069637933357223
Mechanical Turk,Veterans,Scale DV,Republican,dv_vets_scale_w1,0.6799672562418423,0.11324856677351232,5.7176613240960275e-9,0.45707714002735156,0.902857372456333
Mechanical Turk,Wall Street,Main DV,Democrat,dv_wall_main_w1,0.8619791666666651,0.0991848695077605,2.168439381637095e-17,0.6672727453855835,1.0566855879477466
Mechanical Turk,Wall Street,Main DV,Independent,dv_wall_main_w1,0.8942028985507244,0.1944551919791118,7.996879518067359e-6,0.5104979200312467,1.2779078770702021
Mechanical Turk,Wall Street,Main DV,Republican,dv_wall_main_w1,1.157959010300521,0.1774051284607053,3.250095144925433e-10,0.8087030205912229,1.5072150000098192
Mechanical Turk,Wall Street,Scale DV,Democrat,dv_wall_scale_w1,0.6500426268805763,0.06678069599592702,3.43543336551255e-21,0.5189477291148497,0.781137524646303
Mechanical Turk,Wall Street,Scale DV,Independent,dv_wall_scale_w1,0.769650140545997,0.15050521404080228,8.032007580711503e-7,0.472668613167706,1.066631667924288
Mechanical Turk,Wall Street,Scale DV,Republican,dv_wall_scale_w1,0.8266235141804471,0.1154880183107287,7.593470684335272e-12,0.5992632203453501,1.0539838080155441
