dv,op_ed,estimate,std.error,p.value,conf.low,conf.high,nobs,r_squared
Amtrak,Constant,0.011815977058204979,0.04784150027868994,0.8049456531129174,-0.08200382570069768,0.10563577981710763,2181,0.016446009582667842
Amtrak,Op-ed: Amtrak,0.3032481545503896,0.07311304686753253,3.487875499878901e-5,0.1598694645792117,0.44662684452156753,2181,0.016446009582667842
Amtrak,Op-ed: Flat Tax,-0.08416987279865755,0.0671360956879582,0.2100784352228305,-0.21582743409492577,0.04748768849761066,2181,0.016446009582667842
Amtrak,Op-ed: Veterans,-0.041035319610707686,0.06852128159849402,0.5493221129918462,-0.1754093063567181,0.0933386671353027,2181,0.016446009582667842
Amtrak,Op-ed: Wall Street,-0.020830851581824364,0.07115951970654062,0.7697529523441534,-0.16037856777791654,0.1187168646142678,2181,0.016446009582667842
Flat Tax,Constant,0.0016208027797079744,0.048614300782720214,0.9734064811812894,-0.09371450410088286,0.0969561096602988,2181,0.0030136679825352175
Flat Tax,Op-ed: Amtrak,-0.013828915874795638,0.07034676611591843,0.8441729273563627,-0.15178277775780036,0.12412494600820907,2181,0.0030136679825352175
Flat Tax,Op-ed: Flat Tax,0.1042495009104447,0.06985394215620719,0.13574123698442075,-0.032737906191133245,0.24123690801202263,2181,0.0030136679825352175
Flat Tax,Op-ed: Veterans,-0.044400867351461995,0.06955865187121534,0.5233308011693119,-0.1808091940284468,0.09200745932552283,2181,0.0030136679825352175
Flat Tax,Op-ed: Wall Street,0.07729765897557692,0.06880702115292273,0.2613924901303441,-0.05763667868921224,0.21223199664036607,2181,0.0030136679825352175
Veterans,Constant,-0.043410562230322594,0.04395203634296373,0.32341903458916954,-0.12960291315008968,0.04278178868944449,2181,0.006280941256079142
Veterans,Op-ed: Amtrak,0.13110782192814044,0.06514502536189852,0.044284655311078856,0.003354858610235184,0.2588607852460457,2181,0.006280941256079142
Veterans,Op-ed: Flat Tax,-4.7899536485735566e-4,0.06198447579749315,0.9938349838413556,-0.12203394785503097,0.12107595712531624,2181,0.006280941256079142
Veterans,Op-ed: Veterans,0.1525700630879711,0.06309350037115026,0.015680928300897075,0.02884025265753279,0.27629987351840946,2181,0.006280941256079142
Veterans,Op-ed: Wall Street,-0.031987815050689164,0.06435682810520746,0.6192121836915575,-0.1581950803715188,0.09421945027014049,2181,0.006280941256079142
Wall Street,Constant,-0.12316017372397299,0.04394290269733198,0.005112069579404652,-0.20933461306432372,-0.03698573438362228,2181,0.05703327476493092
Wall Street,Op-ed: Amtrak,0.010306251180210155,0.06259181041773619,0.8692283589674556,-0.11243971776947936,0.13305222012989967,2181,0.05703327476493092
Wall Street,Op-ed: Flat Tax,-0.039005720843061954,0.06215426490218887,0.5303560591030352,-0.16089363906843132,0.08288219738230743,2181,0.05703327476493092
Wall Street,Op-ed: Veterans,0.06574843426949575,0.06325278276114532,0.29870856339116225,-0.05829373765306241,0.1897906061920539,2181,0.05703327476493092
Wall Street,Op-ed: Wall Street,0.5706423101802428,0.06018907600706761,6.3530013530980194e-21,0.45260823502940567,0.6886763853310799,2181,0.05703327476493092
