dv,term,estimate,std.error,p.value,conf.low,conf.high,nobs,r_squared
Amtrak,(Intercept),-0.1253224092202198,0.03916088254467413,0.001381653263307855,-0.20209429489246683,-0.048550523547972804,5182,0.025869461052699716
Amtrak,Z_matchamtrak,0.5009644366396994,0.058958804959686875,2.517584361654108e-17,0.38538025314807944,0.6165486201313193,5182,0.025869461052699716
Amtrak,Z_matchflat,0.0801371924894819,0.05505595971111844,0.1455752882800604,-0.02779576432516627,0.18807014930413007,5182,0.025869461052699716
Amtrak,Z_matchvets,0.0440654548829572,0.05785137819525226,0.4462731856010014,-0.06934770396812832,0.1574786137340427,5182,0.025869461052699716
Amtrak,Z_matchwall,0.05468265281038155,0.0552731279966574,0.3225542816004916,-0.05367604565526274,0.16304135127602584,5182,0.025869461052699716
Amtrak,experimental_sampleelite,0.1371383862784292,0.06182543061389553,0.02658754253390943,0.015934404593063833,0.25834236796379456,5182,0.025869461052699716
Amtrak,Z_matchamtrak:experimental_sampleelite,-0.19771628208931682,0.0939236834058823,0.03533299410894255,-0.3818464092928308,-0.013586154885802837,5182,0.025869461052699716
Amtrak,Z_matchflat:experimental_sampleelite,-0.16430706528814978,0.08682404070264893,0.058491582109953054,-0.3345188913066829,0.005904760730383346,5182,0.025869461052699716
Amtrak,Z_matchvets:experimental_sampleelite,-0.08510077449366803,0.0896769089063081,0.3426797650719915,-0.260905428286689,0.09070387929935296,5182,0.025869461052699716
Amtrak,Z_matchwall:experimental_sampleelite,-0.07551350439221347,0.09010436128956459,0.40203172396583,-0.25215614556869703,0.1011291367842701,5182,0.025869461052699716
Flat Tax,(Intercept),-0.10125252371759075,0.039412457949978545,0.010225601663036075,-0.17851760354173019,-0.02398744389345131,5182,0.021037848810500526
Flat Tax,Z_matchamtrak,0.004638490950056131,0.05645152528132264,0.9345165525041409,-0.1060303643796885,0.11530734627980076,5182,0.021037848810500526
Flat Tax,Z_matchflat,0.4879926816482266,0.05986464827615286,4.466028351503429e-16,0.3706326622966931,0.6053527009997601,5182,0.021037848810500526
Flat Tax,Z_matchvets,-0.025689580376769015,0.05722355436698087,0.6534983140571076,-0.13787193910195394,0.0864927783484159,5182,0.021037848810500526
Flat Tax,Z_matchwall,0.0969384867042609,0.05660888910831072,0.08687828469050596,-0.014038868254435996,0.2079158416629578,5182,0.021037848810500526
Flat Tax,experimental_sampleelite,0.10287332649730108,0.06258348090551992,0.10028292184731043,-0.019816754237441198,0.22556340723204335,5182,0.021037848810500526
Flat Tax,Z_matchamtrak:experimental_sampleelite,-0.018467406824853264,0.09019668624487014,0.8377786693170045,-0.195291043945576,0.15835623029586948,5182,0.021037848810500526
Flat Tax,Z_matchflat:experimental_sampleelite,-0.3837431807377889,0.0919964637798134,3.078523806694145e-5,-0.5640951427115207,-0.2033912187640571,5182,0.021037848810500526
Flat Tax,Z_matchvets:experimental_sampleelite,-0.018711286974694725,0.09007186699814662,0.8354422663172713,-0.1952902256025216,0.15786765165313213,5182,0.021037848810500526
Flat Tax,Z_matchwall:experimental_sampleelite,-0.01964082772868434,0.08910091181360459,0.8255422417604247,-0.19431628370809287,0.1550346282507242,5182,0.021037848810500526
Veterans,(Intercept),-0.10338931686652467,0.03953112925713907,0.008938447286417198,-0.18088704262287747,-0.025891591110171863,5182,0.045094292159256866
Veterans,Z_matchamtrak,0.05108267722531844,0.05583949914326705,0.3603326675562474,-0.058386348130072846,0.16055170258070972,5182,0.045094292159256866
Veterans,Z_matchflat,0.047933810089174654,0.05616119899881672,0.3934193758858203,-0.06216588298681417,0.15803350316516349,5182,0.045094292159256866
Veterans,Z_matchvets,0.6455280080158173,0.05387120259920145,1.1793835178999381e-32,0.5399176760154009,0.7511383400162338,5182,0.045094292159256866
Veterans,Z_matchwall,-0.1134705490694594,0.05670859859703113,0.04545093507067871,-0.22464337677981733,-0.0022977213591014595,5182,0.045094292159256866
Veterans,experimental_sampleelite,0.059978754636203446,0.05911422569092663,0.3103322131005721,-0.05591011919522747,0.17586762846763437,5182,0.045094292159256866
