dv,op_ed,estimate,std.error,p.value,conf.low,conf.high,nobs,r_squared
Amtrak,Constant,-0.1253224092202255,0.03916088254467486,0.001385404414756849,-0.20210239628170765,-0.048542422158743354,3571,0.028559449271355675
Amtrak,Op-ed: Amtrak,0.5009644366397074,0.058958804959688346,2.821883663263002e-17,0.38536805607292446,0.6165608172064903,3571,0.028559449271355675
Amtrak,Op-ed: Climate,0.07775671966046957,0.05634269480728741,0.16765241189993618,-0.03271043779895336,0.1882238771198925,3571,0.028559449271355675
Amtrak,Op-ed: Flat Tax,0.08013719248949222,0.05505595971112128,0.14560264536680473,-0.027807154001038878,0.18808153898002333,3571,0.028559449271355675
Amtrak,Op-ed: Veterans,0.04406545488295959,0.05785137819525253,0.4462888402513232,-0.06935967194489337,0.15749058171081257,3571,0.028559449271355675
Amtrak,Op-ed: Wall Street,0.054682652810392966,0.05527312799665778,0.32257514189362935,-0.05368748025771678,0.16305278587850272,3571,0.028559449271355675
Climate,Constant,-0.07907142074009692,0.03880018156931452,0.041632239870053114,-0.1551442067779648,-0.002998634702229011,3571,0.009000289238108139
Climate,Op-ed: Amtrak,0.018284251454904143,0.056448383803165365,0.7460244301169254,-0.09239012298250167,0.12895862589230994,3571,0.009000289238108139
Climate,Op-ed: Climate,0.2757598453708617,0.05747088025642484,1.6661708877591973e-6,0.16308073407998702,0.38843895666173633,3571,0.009000289238108139
Climate,Op-ed: Flat Tax,0.11026001772997619,0.05591879652955827,0.048710997955869986,6.239677983853609e-4,0.21989606766156702,3571,0.009000289238108139
Climate,Op-ed: Veterans,0.0033959060015724984,0.05687912129764569,0.9523948030958949,-0.10812298513474494,0.11491479713788993,3571,0.009000289238108139
Climate,Op-ed: Wall Street,0.06694243052750966,0.05663636001491763,0.23729677295891105,-0.04410049564234858,0.1779853566973679,3571,0.009000289238108139
Flat Tax,Constant,-0.10125252371759337,0.039412457949979315,0.010238138208759474,-0.17852575697551215,-0.023979290459674577,3571,0.02979593877232689
Flat Tax,Op-ed: Amtrak,0.004638490950059204,0.05645152528132418,0.9345179857123418,-0.10604204276253947,0.11531902466265788,3571,0.02979593877232689
Flat Tax,Op-ed: Climate,0.04547456838049556,0.05660230864564096,0.42179434392584636,-0.06550159566546247,0.15645073242645358,3571,0.02979593877232689
Flat Tax,Op-ed: Flat Tax,0.4879926816482374,0.05986464827615598,4.921210390172685e-16,0.3706202778256259,0.6053650854708489,3571,0.02979593877232689
Flat Tax,Op-ed: Veterans,-0.02568958037676382,0.05722355436698122,0.6535067922677321,-0.13788377719795594,0.08650461644442829,3571,0.02979593877232689
Flat Tax,Op-ed: Wall Street,0.09693848670426033,0.05660888910831111,0.0869053043433187,-0.014050579191856372,0.20792755260037704,3571,0.02979593877232689
Veterans,Constant,-0.10338931686652557,0.03953112925713978,0.008950124810947964,-0.1808952206067287,-0.025883413126322447,3571,0.06273838742679261
Veterans,Op-ed: Amtrak,0.051082677225318826,0.055839499143268544,0.36035189034769666,-0.058397899900305764,0.16056325435094343,3571,0.06273838742679261
Veterans,Op-ed: Climate,-0.0066522306242883114,0.055818626389897236,0.9051427770118845,-0.11609188401097627,0.10278742276239965,3571,0.06273838742679261
Veterans,Op-ed: Flat Tax,0.04793381008918236,0.056161198998819585,0.3934371920582592,-0.06217750130854939,0.15804512148691413,3571,0.06273838742679261
Veterans,Op-ed: Veterans,0.6455280080158116,0.05387120259920184,1.8232834015137395e-32,0.5399065314355895,0.7511494845960336,3571,0.06273838742679261
Veterans,Op-ed: Wall Street,-0.11347054906945951,0.05670859859703147,0.0454744530882273,-0.2246551083445909,-0.0022859897943281055,3571,0.06273838742679261
Wall Street,Constant,-0.09579761267024163,0.038309194200937,0.012441360907758428,-0.17090775432060445,-0.020687471019878806,3571,0.07598502664218987
Wall Street,Op-ed: Amtrak,-0.03393623220395068,0.05397276352990281,0.5295426231232585,-0.13975683215521206,0.07188436774731069,3571,0.07598502664218987
Wall Street,Op-ed: Climate,0.007924316089783678,0.05530224926250018,0.8860684404283502,-0.10050291299530277,0.11635154517487013,3571,0.07598502664218987
Wall Street,Op-ed: Flat Tax,-0.023393977223614696,0.05571650461154049,0.6746019447582291,-0.1326334076247256,0.08584545317749623,3571,0.07598502664218987
Wall Street,Op-ed: Veterans,-0.08988817252095167,0.05378674252620533,0.09477079939832386,-0.195344054178626,0.01556770913672266,3571,0.07598502664218987
Wall Street,Op-ed: Wall Street,0.6976425376589397,0.0556613742682167,2.6809067709738437e-35,0.588511197443035,0.8067738778748443,3571,0.07598502664218987
