Z,Elite,MTurk,mturk_minus_elite_seconds
amtrak,134.0035238095238,160.41201362862012,26.408489819096303
paul,186.43233186813188,232.03527383015603,45.60294196202415
veterans,207.3235813953488,176.6102079037801,-30.713373491568717
wallstreet,80.40687529976019,108.88239424703892,28.47551894727873
