dv,op_ed,estimate,std.error,p.value,conf.low,conf.high,nobs,r_squared
Amtrak,Constant,2.303571428571417,0.07325777808497566,3.0595170024767084e-179,2.159908912754593,2.4472339443882407,2181,0.01173897434636706
Amtrak,Op-ed: Amtrak,0.43844331344331666,0.10953932193346026,6.474496703661004e-5,0.22363070267076424,0.6532559242158691,2181,0.01173897434636706
Amtrak,Op-ed: Flat Tax,-0.022793890774448947,0.10075469726835512,0.8210425853013515,-0.2203793713652527,0.17479158981635484,2181,0.01173897434636706
Amtrak,Op-ed: Veterans,-0.004484670580559668,0.10326373663823742,0.9653633157283383,-0.20699051481851966,0.1980211736574003,2181,0.01173897434636706
Amtrak,Op-ed: Wall Street,0.042310924369750716,0.10859906517213178,0.6968655174331824,-0.17065779138745546,0.25527964012695686,2181,0.01173897434636706
Flat Tax,Constant,3.578125000000003,0.10296968775594356,7.532411106018069e-211,3.3761958017279428,3.7800541982720635,2181,0.00845103124436597
Flat Tax,Op-ed: Amtrak,-0.09409551597051632,0.14979252215927807,0.529956983597187,-0.3878468574183489,0.19965582547731622,2181,0.00845103124436597
Flat Tax,Op-ed: Flat Tax,0.4110758639308846,0.14353474726481125,0.004224073065467743,0.12959636184612494,0.6925553660156443,2181,0.00845103124436597
Flat Tax,Op-ed: Veterans,-0.15575057077625556,0.1473230609951604,0.29053571769331893,-0.44465916360649327,0.1331580220539821,2181,0.00845103124436597
Flat Tax,Op-ed: Wall Street,0.06658088235294156,0.14827845477166204,0.6534576110749075,-0.22420129000858835,0.3573630547144715,2181,0.00845103124436597
Veterans,Constant,4.584821428571419,0.06378617423283599,0,4.459733246754192,4.709909610388646,2181,0.0014061156994344959
Veterans,Op-ed: Amtrak,0.06874122499122619,0.09278143968863728,0.45883756989117297,-0.11320826071819932,0.2506907107006517,2181,0.0014061156994344959
Veterans,Op-ed: Flat Tax,-0.05998341561246399,0.09080516424342668,0.5089562816024644,-0.23805731691532123,0.11809048569039327,2181,0.0014061156994344959
Veterans,Op-ed: Veterans,0.0453155577299422,0.09116686179298006,0.6191957392392575,-0.13346765228104085,0.22409876774092524,2181,0.0014061156994344959
Veterans,Op-ed: Wall Street,-0.05540966386554499,0.09343184890766616,0.5532099945273625,-0.23863463768229148,0.1278153099512015,2181,0.0014061156994344959
Wall Street,Constant,2.9263392857142794,0.07145844880393004,2.7080943652920764e-272,2.786205353183152,3.066473218245407,2181,0.03699200625576793
Wall Street,Op-ed: Amtrak,0.0712037118287127,0.1029918335536853,0.4894174898788093,-0.1307689155658453,0.2731763392232707,2181,0.03699200625576793
Wall Street,Op-ed: Flat Tax,-0.004093065411906364,0.10070834531461717,0.9675844208793307,-0.2015876472823136,0.19340151645850084,2181,0.03699200625576793
Wall Street,Op-ed: Veterans,0.1193228147423373,0.10146274348600244,0.2397131693066797,-0.07965118326737877,0.31829681275205335,2181,0.03699200625576793
Wall Street,Op-ed: Wall Street,0.7913077731092476,0.10535797790079442,8.534928154100232e-14,0.5846950070348466,0.9979205391836486,2181,0.03699200625576793
