dv,op_ed,estimate,std.error,p.value,conf.low,conf.high,nobs,r_squared
Amtrak,Constant,2.9019292604501588,0.05406415007051162,0,2.795929485338646,3.0079290355616717,3571,0.011500901342735181
Amtrak,Op-ed: Amtrak,0.4397792822634117,0.08502585494736914,2.439671904154398e-7,0.2730750708528804,0.6064834936739429,3571,0.011500901342735181
Amtrak,Op-ed: Climate,0.054211090427033044,0.07876067590770199,0.49130772931485045,-0.10020942525588683,0.2086316061099529,3571,0.011500901342735181
Amtrak,Op-ed: Flat Tax,0.195174657778119,0.07800213736152325,0.01238789410916442,0.04224135525222636,0.3481079603040116,3571,0.011500901342735181
Amtrak,Op-ed: Veterans,0.04739506387416326,0.07913701551817917,0.5492784222286335,-0.1077633144039164,0.2025534421522429,3571,0.011500901342735181
Amtrak,Op-ed: Wall Street,0.038369247012527884,0.07758149724961594,0.6209362882397423,-0.11373933604201625,0.19047783006707203,3571,0.011500901342735181
Climate,Constant,2.7733118971061046,0.06533925896514828,5.31506e-319,2.6452058092969803,2.901417984915229,3571,0.007641253818776339
Climate,Op-ed: Amtrak,-0.01954305288500149,0.09495028579397596,0.8369401022350673,-0.20570539757753312,0.16661929180753013,3571,0.007641253818776339
Climate,Op-ed: Climate,0.42668810289389375,0.0978578521325194,1.3356412356693368e-5,0.23482509745657199,0.6185511083312155,3571,0.007641253818776339
Climate,Op-ed: Flat Tax,0.12958418466561428,0.09690213993928805,0.18122030597033534,-0.06040502311796228,0.3195733924491908,3571,0.007641253818776339
Climate,Op-ed: Veterans,0.03243134613713682,0.09549132735029223,0.7341581341690187,-0.15479178066739896,0.21965447294167262,3571,0.007641253818776339
Climate,Op-ed: Wall Street,0.0790927463433109,0.09519534311460902,0.40611581909978356,-0.10755006499565195,0.26573555768227375,3571,0.007641253818776339
Flat Tax,Constant,3.7379421221865075,0.07605508399640584,0,3.588826270199713,3.887057974173302,3571,0.026383281574418493
Flat Tax,Op-ed: Amtrak,0.05602772705974016,0.10776055089824518,0.6031460450431054,-0.15525080309765898,0.2673062572171393,3571,0.026383281574418493
Flat Tax,Op-ed: Climate,0.13223331640999766,0.10991653179608939,0.22904308059406278,-0.08327229379986037,0.3477389266198557,3571,0.026383281574418493
Flat Tax,Op-ed: Flat Tax,0.8497921197215131,0.10872096789757926,7.108149626130938e-15,0.6366305675280715,1.0629536719149548,3571,0.026383281574418493
Flat Tax,Op-ed: Veterans,-0.10618536542973214,0.10971462824489933,0.3331937619549915,-0.3212951175526241,0.10892438669315976,3571,0.026383281574418493
Flat Tax,Op-ed: Wall Street,0.1509467667023916,0.10681012513021448,0.15767680559054928,-0.058468330523202494,0.3603618639279857,3571,0.026383281574418493
Veterans,Constant,4.501607717041834,0.057734094038402885,0,4.38841254100825,4.614802893075417,3571,0.047955477881042374
Veterans,Op-ed: Amtrak,-0.05604657801332111,0.08229085688125831,0.4958657125950252,-0.21738847114898693,0.10529531512234472,3571,0.047955477881042374
Veterans,Op-ed: Climate,-0.008625260901450084,0.08216419082834318,0.9164008277567235,-0.16971880881933746,0.1524682870164373,3571,0.047955477881042374
Veterans,Op-ed: Flat Tax,-0.033123901028172656,0.08235026284684924,0.6875374966471776,-0.19458226726079286,0.12833446520444758,3571,0.047955477881042374
Veterans,Op-ed: Veterans,0.7703517424176509,0.07845298250945573,1.7881461772745282e-22,0.6165344995314894,0.9241689853038124,3571,0.047955477881042374
Veterans,Op-ed: Wall Street,-0.20973375352604243,0.0839547429805492,0.012528110838218856,-0.3743379110662347,-0.045129595985850174,3571,0.047955477881042374
Wall Street,Constant,2.6157556270096434,0.05425888480266953,0,2.5093740492102454,2.7221372048090413,3571,0.06065199315376868
Wall Street,Op-ed: Amtrak,-0.034516096021370984,0.07861139776392877,0.6606356779251621,-0.18864393255094453,0.11961174050820256,3571,0.06065199315376868
Wall Street,Op-ed: Climate,0.02634963614824943,0.08007923215412542,0.7421413317505497,-0.13065607999394852,0.18335535229044736,3571,0.06065199315376868
Wall Street,Op-ed: Flat Tax,-0.01779992002497712,0.07927584351873213,0.8223566662096023,-0.17323048859585896,0.1376306485459047,3571,0.06065199315376868
Wall Street,Op-ed: Veterans,-0.12420157295558999,0.07802507821611142,0.11151469855110326,-0.2771798540009644,0.0287767080897844,3571,0.06065199315376868
Wall Street,Op-ed: Wall Street,0.9149243066553643,0.08230228988268348,3.0170081551087235e-28,0.7535599976382255,1.0762886156725031,3571,0.06065199315376868
